tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sev.KSH3/1_a;ПЗэ3/1 авария;BOOL (1 bit);R;ИНР;1;176;;, , , , , , 
sev.KSH3/2_a;ПЗэ3/2 авария;BOOL (1 bit);R;ИНР;1;180;;, , , , , , 
sev.KSH3/3_a;ПЗэ3/3 авария;BOOL (1 bit);R;ИНР;1;184;;, , , , , , 
sev.KSH3/4_a;ПЗэ3/4 авария;BOOL (1 bit);R;ИНР;1;188;;, , , , , , 
sev.KSH4_a;ПЗэ4 авария;BOOL (1 bit);R;ИНР;1;192;;, , , , , , 
sev.t_kont1;температура контейнера;INT (4 bytes);R;ИНР;1;196;;0.1, 0, , 0, 100, , 
sev.avr;авария;BOOL (1 bit);R;ИНР;1;200;&h01;, , , , , , 
sev.DI22;адр 4198R;INT (1 byte);R;ИНР;1;204;;, , , , , , 
sev.DI22.DI_1;Регенер Ф 2/1;BOOL (1 bit);R;ИНР;1;204;&h01;, , , , , , 
sev.DI22.DI_2;Регенер Ф2/2;BOOL (1 bit);R;ИНР;1;204;&h02;, , , , , , 
sev.DI22.DI_3;Регенер Ф2/3;BOOL (1 bit);R;ИНР;1;204;&h04;, , , , , , 
sev.DI22.DI_4;Регенер Ф2/4;BOOL (1 bit);R;ИНР;1;204;&h08;, , , , , , 
sev.DI22.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;204;&h10;, , , , , , 
sev.DI22.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;204;&h20;, , , , , , 
sev.DI22.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;204;&h40;, , , , , , 
sev.DI22.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;204;&h80;, , , , , , 
sev.DI23;адр 4199f;INT (1 byte);R;ИНР;1;208;;, , , , , , 
sev.DI23.DI_1;ДВЕРЬ;BOOL (1 bit);R;ИНР;1;208;&h01;, , , , , , 
sev.DI23.DI_2;ПОЖАР;BOOL (1 bit);R;ИНР;1;208;&h02;, , , , , , 
sev.DI23.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;208;&h04;, , , , , , 
sev.DI23.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;208;&h08;, , , , , , 
sev.DI23.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;208;&h10;, , , , , , 
sev.DI23.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;208;&h20;, , , , , , 
sev.DI23.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;208;&h40;, , , , , , 
sev.DI23.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;208;&h80;, , , , , , 
sev.Timer;Таймер/календарь;date;R;TIME;;0;;, , , , , , 
sev.Timer;Таймер/календарь;date;W;TIME;;0;;, , , , , , 
sev.N1(HH);Мото1/час за текущий час;FLOAT (4 bytes);R;ИНР;2;0;;1, 0, , , , , 
sev.N1(HH-1);Мото1/час за прошедший час;FLOAT (4 bytes);R;ИНР;2;4;;1, 0, , , , , 
sev.N1(DD);Мото1/час за текущие сутки;FLOAT (4 bytes);R;ИНР;2;8;;1, 0, , , , , 
sev.N1(DD-1);Мото1/час за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;12;;1, 0, , , , , 
sev.N1(MM);Мото1/час за текущий месяц;FLOAT (4 bytes);R;ИНР;2;16;;1, 0, , , , , 
sev.N1(MM-1);Мото1/час за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;20;;1, 0, , , , , 
sev.N1(GG);Мото1/час за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;24;;1, 0, , , , , 
sev.N1(GG-1);Мото1/час за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;28;;1, 0, , , , , 
sev.FE.Q(HH);Объем за текущий час;FLOAT (4 bytes);R;ИНР;2;32;;1, 0, , , , , 
sev.FE.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);R;ИНР;2;36;;1, 0, , , , , 
sev.FE.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);R;ИНР;2;40;;1, 0, , , , , 
sev.FE.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;44;;1, 0, , , , , 
sev.FE.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);R;ИНР;2;48;;1, 0, , , , , 
sev.FE.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;52;;1, 0, , , , , 
sev.FE.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;56;;1, 0, , , , , 
sev.FE.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;60;;1, 0, , , , , 
sev.FE1.Q(HH);Объем за текущий час;FLOAT (4 bytes);R;ИНР;2;64;;1, 0, , , , , 
sev.FE1.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);R;ИНР;2;68;;1, 0, , , , , 
sev.FE1.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);R;ИНР;2;72;;1, 0, , , , , 
sev.FE1.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;76;;1, 0, , , , , 
sev.FE1.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);R;ИНР;2;80;;1, 0, , , , , 
sev.FE1.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;84;;1, 0, , , , , 
sev.FE1.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;88;;1, 0, , , , , 
sev.FE1.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;92;;1, 0, , , , , 
sev.FE2.Q(HH);Объем за текущий час;FLOAT (4 bytes);R;ИНР;2;96;;1, 0, , , , , 
sev.FE2.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);R;ИНР;2;100;;1, 0, , , , , 
sev.FE2.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);R;ИНР;2;104;;1, 0, , , , , 
sev.FE2.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;108;;1, 0, , , , , 
sev.FE2.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);R;ИНР;2;112;;1, 0, , , , , 
sev.FE2.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;116;;1, 0, , , , , 
sev.FE2.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;120;;1, 0, , , , , 
sev.FE2.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;124;;1, 00, , , , , 
sev.FE3.Q(HH);Объем за текущий час;FLOAT (4 bytes);R;ИНР;2;128;;1, 0, , , , , 
sev.FE3.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);R;ИНР;2;132;;1, 0, , , , , 
sev.FE3.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);R;ИНР;2;136;;1, 0, , , , , 
sev.FE3.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;140;;1, 0, , , , , 
sev.FE3.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);R;ИНР;2;144;;1, 0, , , , , 
sev.FE3.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;148;;1, 0, , , , , 
sev.FE3.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;152;;1, 0, , , , , 
sev.FE3.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;156;;1, 0, , , , , 
sev.FE4.Q(HH);Объем за текущий час;FLOAT (4 bytes);R;ИНР;2;160;;1, 0, , , , , 
sev.FE4.Q(HH-1);Объем за прошедший час;FLOAT (4 bytes);R;ИНР;2;164;;1, 0, , , , , 
sev.FE4.Q(DD);Объем за текущие сутки;FLOAT (4 bytes);R;ИНР;2;168;;1, 0, , , , , 
sev.FE4.Q(DD-1);Объем за прошедшие сутки;FLOAT (4 bytes);R;ИНР;2;172;;1, 0, , , , , 
sev.FE4.Q(MM);Объем за текущий месяц;FLOAT (4 bytes);R;ИНР;2;176;;1, 0, , , , , 
sev.FE4.Q(MM-1);Объем за прошедший месяц;FLOAT (4 bytes);R;ИНР;2;180;;1, 0, , , , , 
sev.FE4.Q(GG);Объем за текущий ГОД;FLOAT (4 bytes);R;ИНР;2;184;;1, 0, , , , , 
sev.FE4.Q(GG-1);Объем за прошедший ГОД;FLOAT (4 bytes);R;ИНР;2;188;;1, 0, , , , , 
